6.256983240223463749e-01,9.796362670068027967e+01,6.471292127879155487e+01
4.134078212290502874e-01,7.112971267392319419e+01,5.139170011028622298e+01
5.754189944134078250e-01,7.635483802216538152e+01,4.404842896862985668e+01
5.363128491620111626e-01,9.603747782888406448e+01,6.477864657391118897e+01
6.536312849162011496e-01,8.573867613867614068e+01,5.049316580520935815e+01
6.145251396648044873e-01,9.907890442890443694e+01,6.939653428488212228e+01
4.078212290502793436e-01,6.829160983613037672e+01,5.039258971592667535e+01
5.083798882681563880e-01,9.464097200070884242e+01,8.612277150347033228e+01
4.469273743016759504e-01,6.093199082707644010e+01,3.772589209949751421e+01
5.754189944134078250e-01,9.085792494991524393e+01,6.114168642332703740e+01
5.530726256983240496e-01,8.616404576063668230e+01,6.959478979852161729e+01
6.145251396648044873e-01,9.363206276394350880e+01,6.230073053859847221e+01
6.648044692737430372e-01,9.708851540616245757e+01,5.341775695695739046e+01
4.636871508379888374e-01,8.149981499251585149e+01,8.189999877749282575e+01
5.251396648044692750e-01,8.573753274551147285e+01,5.618505052871235250e+01
6.145251396648044873e-01,8.758802459496386916e+01,5.225005901201485869e+01
5.307262569832402743e-01,7.646228041472892301e+01,4.594097056190146589e+01
6.312849162011172632e-01,9.272435735356089026e+01,5.409463544299450888e+01
6.089385474860334879e-01,9.847217308685198134e+01,5.554528374261550994e+01
6.815642458100558132e-01,1.029392789261107168e+02,8.047506279510841409e+01
6.256983240223463749e-01,9.730071565071564521e+01,6.056090104290984755e+01
4.636871508379888374e-01,5.546826592853135907e+01,3.750370621456854536e+01
3.184357541899441313e-01,5.717573990858296185e+01,6.275940995727096805e+01
5.530726256983240496e-01,8.771136363636361466e+01,5.215668545737155881e+01
6.201117318435753756e-01,9.292896807896806877e+01,5.375730835219357573e+01
5.921787709497207119e-01,7.995410563946055049e+01,5.953882955622371753e+01
3.910614525139664566e-01,7.144451968088011995e+01,7.218036899958735830e+01
6.201117318435753756e-01,1.066886164886164892e+02,7.144980856262608881e+01
6.759776536312849249e-01,9.365550607287448770e+01,4.875614614285701975e+01
6.424581005586592619e-01,1.025234650856390175e+02,6.136311059433022308e+01
